I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-6.4956,-6.4956,-6.4956,,,,,,,,,
-6.4299,-6.4299,-6.4299,,,,,,,,,
-6.3992,-6.3992,-6.3992,,,,,,,,,
-6.1978,-6.1978,-6.1978,,,,,,,,,
-6.0923,-6.0923,-6.0923,,,,,,,,,
-5.9915,-5.9915,-5.9915,,,,,,,,,
-5.4715,-5.4715,-5.4715,,,,,,,,,
-5.2812,-5.2812,-5.2812,,,,,,,,,
-5.1324,-5.1324,-5.1324,,,,,,,,,
-4.9092,-4.9092,-4.9092,,,,,,,,,
-4.8031,-4.8031,-4.8031,,,,,,,,,
-4.7025,-4.7025,-4.7025,,,,,,,,,
-4.3147,-4.3147,-4.3147,,,,,,,,,
-4.1934,-4.0631,-4.0631,,,,,,,,,
-4.2927,-4.265,-4.265,,,,,,,,,
-4.4025,-4.4025,-4.4025,,,,,,,,,
-4.5077,-4.5077,-4.5077,,,,,,,,,
-4.8511,-4.8511,-4.8511,,,,,,,,,
-5.0076,-5.0076,-5.0076,,,,,,,,,
-5.1128,-5.1128,-5.1128,,,,,,,,,
-5.5853,-5.5853,-5.5853,,,,,,,,,
-5.7921,-5.7921,-5.7921,,,,,,,,,
-6.0099,-6.0099,-6.0099,,,,,,,,,
-6.3975,-6.3975,-6.3975,,,,,,,,,
-6.5814,-6.5814,-6.5814,,,,,,,,,
-6.7129,-6.7129,-6.7129,,,,,,,,,
-7.0164,-7.0164,-7.0164,,,,,,,,,
-7.1219,-7.1219,-7.1219,,,,,,,,,
-7.2604,-7.2604,-7.2604,,,,,,,,,
-7.3538,-7.3538,-7.3538,,,,,,,,,
-7.4113,-7.4113,-7.4113,,,,,,,,,
-7.6353,-7.6353,-7.6353,,,,,,,,,
-7.7056,-7.7056,-7.7056,,,,,,,,,
-7.7319,-7.7319,-7.7319,,,,,,,,,
-7.7582,-7.7582,-7.7582,,,,,,,,,
-8.0195,-8.0195,-8.0195,,,,,,,,,
-7.8442,-7.8442,-7.8442,,,,,,,,,
-7.7681,-7.7681,-7.7681,,,,,,,,,
-7.7205,-7.7205,-7.7205,,,,,,,,,
-7.4976,-7.4976,-7.4976,,,,,,,,,
-7.4048,-7.4048,-7.4048,,,,,,,,,
-7.3522,-7.3522,-7.3522,,,,,,,,,
-7.2146,-7.2146,-7.2146,,,,,,,,,
-7.1205,-7.1205,-7.1205,,,,,,,,,
-7.0628,-7.0628,-7.0628,,,,,,,,,
-6.8195,-6.8195,-6.8195,,,,,,,,,
-6.742,-6.742,-6.742,,,,,,,,,
-6.7157,-6.7157,-6.7157,,,,,,,,,
-6.6682,-6.6682,-6.6682,,,,,,,,,
-6.6368,-6.6368,-6.6368,,,,,,,,,
-6.5894,-6.5894,-6.5894,,,,,,,,,
-6.5368,-6.5368,-6.5368,,,,,,,,,
-6.5052,-6.5052,-6.5052,,,,,,,,,
-6.5,-6.5,-6.5,,,,,,,,,
-6.479,-6.479,-6.479,,,,,,,,,
-6.4737,-6.4737,-6.4737,,,,,,,,,
-6.4527,-6.4527,-6.4527,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4264,-6.4264,-6.4264,,,,,,,,,
-6.4211,-6.4211,-6.4211,,,,,,,,,
-6.4002,-6.4002,-6.4002,,,,,,,,,
-6.3739,-6.3739,-6.3739,,,,,,,,,
-6.3684,-6.3684,-6.3684,,,,,,,,,
-6.3684,-6.3684,-6.3684,,,,,,,,,
-6.3684,-6.3684,-6.3684,,,,,,,,,
-6.3684,-6.3684,-6.3684,,,,,,,,,
-6.3684,-6.3684,-6.3684,,,,,,,,,
-6.3684,-6.3684,-6.3684,,,,,,,,,
-6.3684,-6.3684,-6.3684,,,,,,,,,
